activation_function,config_tag,hidden_neurons,n_layers,optimizer,learning_rate,learning_decrease_base,epochs,train_accuracy,test_accuracy,precision_train,precision_test,recall_train,recall_test,confusion_matrix,early_stopping_patience,dropout_rate,l2_regularization,execution_time,execution_dir
relu,base_arquitecture_early_stopping_3_momentum,"[300, 100]",2,momentum,0.001,1,18,0.96,0.83,0.96,0.85,0.96,0.83,"[[ 564   47  183   50]
 [  46   93   49   17]
 [ 294   44 1480  220]
 [ 293   46  593 6916]]",3,1.0,0.0,362.0742304325104,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-base_arquitecture_early_stopping_3_momentum-200138/
relu,dropout_25_momentum,"[300, 100]",2,momentum,0.001,1,20,0.77,0.69,0.77,0.8,0.77,0.69,"[[ 590   75  128   51]
 [  52  102   39   12]
 [ 389   62 1387  200]
 [ 950   51 1402 5445]]",2,0.25,0.0,467.94406151771545,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_25_momentum-200959/
relu,dropout_35_momentum,"[300, 100]",2,momentum,0.001,1,20,0.85,0.78,0.85,0.84,0.85,0.78,"[[ 626   44  124   50]
 [  58   99   33   15]
 [ 404   42 1378  214]
 [ 644   24  768 6412]]",2,0.35,0.0,468.1412432193756,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_35_momentum-202002/
relu,dropout_50_momentum,"[300, 100]",2,momentum,0.001,1,20,0.9,0.82,0.9,0.85,0.9,0.82,"[[ 601   48  136   59]
 [  51   97   31   26]
 [ 380   43 1380  235]
 [ 406   24  494 6924]]",2,0.5,0.0,468.30471444129944,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_50_momentum-203008/
relu,l2_scale_0.001_momentum,"[300, 100]",2,momentum,0.001,1,20,0.95,0.82,0.95,0.86,0.95,0.82,"[[ 601   53  143   47]
 [  52  103   35   15]
 [ 368   65 1417  188]
 [ 404   50  530 6864]]",2,1.0,0.001,415.9914608001709,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-l2_scale_0.001_momentum-204018/
relu,l2_scale_0.002_momentum,"[300, 100]",2,momentum,0.001,1,20,0.93,0.81,0.93,0.85,0.93,0.81,"[[ 589   73  144   38]
 [  42  108   40   15]
 [ 328   99 1442  169]
 [ 428   90  652 6678]]",2,1.0,0.002,412.93263053894043,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-l2_scale_0.002_momentum-204931/
relu,l2_scale_0.005_momentum,"[300, 100]",2,momentum,0.001,1,20,0.85,0.78,0.86,0.83,0.85,0.78,"[[ 501  134  143   66]
 [  36  116   37   16]
 [ 281  137 1377  243]
 [ 409  136  745 6558]]",2,1.0,0.005,411.98282504081726,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-l2_scale_0.005_momentum-205838/
relu,dropout_25_momentum_lr_0.01,"[300, 100]",2,momentum,0.01,1,20,0.86,0.78,0.86,0.8,0.86,0.78,"[[ 480    8   93  149]
 [  68   24   44  103]
 [ 317   20 1004  359]
 [ 453   21  490 6172]]",2,0.25,0.0,409.94440364837646,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_25_momentum_lr_0.01-211653/
relu,dropout_35_momentum_lr_0.01,"[300, 100]",2,momentum,0.01,1,20,0.92,0.82,0.92,0.81,0.92,0.82,"[[ 401    7   93  229]
 [  65   23   26  125]
 [ 256   11  921  512]
 [ 178   12  269 6677]]",2,0.35,0.0,442.5625762939453,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_35_momentum_lr_0.01-212550/
relu,dropout_50_momentum_lr_0.01,"[300, 100]",2,momentum,0.01,1,20,0.96,0.83,0.96,0.81,0.96,0.83,"[[ 342    5  110  273]
 [  48   24   24  143]
 [ 233   11  948  508]
 [ 121    4  227 6784]]",2,0.5,0.0,403.1149888038635,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_50_momentum_lr_0.01-213521/
relu,dropout_25_momentum_lr_0.01,"[300, 100]",2,momentum,0.01,1,20,0.87,0.84,0.87,0.87,0.87,0.84,"[[ 653   42  108   41]
 [  54  103   38   10]
 [ 428   55 1399  156]
 [ 385   26  457 6980]]",2,0.25,0.0,471.1928713321686,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_25_momentum_lr_0.01-214414/
relu,dropout_35_momentum_lr_0.01,"[300, 100]",2,momentum,0.01,1,20,0.93,0.87,0.93,0.88,0.93,0.87,"[[ 583   21  171   69]
 [  44   93   45   23]
 [ 314   28 1473  223]
 [ 144   14  329 7361]]",2,0.35,0.0,470.72780108451843,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_35_momentum_lr_0.01-215416/
relu,dropout_50_momentum_lr_0.01,"[300, 100]",2,momentum,0.01,1,20,0.97,0.88,0.97,0.88,0.97,0.88,"[[ 590   18  176   60]
 [  44   88   62   11]
 [ 298   25 1532  183]
 [ 139    5  334 7370]]",2,0.5,0.0,473.6395297050476,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dropout_50_momentum_lr_0.01-220419/
