activation_function,config_tag,hidden_neurons,n_layers,optimizer,learning_rate,learning_decrease_base,epochs,train_accuracy,test_accuracy,precision_train,precision_test,recall_train,recall_test,confusion_matrix,early_stopping_patience,dropout_rate,l2_regularization,momentumexecution_time,execution_dir
relu,dynamic_learning_rate_0.09_0.95,"[300, 150, 100]",3,GD,0.05,0.95,20,1.0,0.87,1.0,0.87,1.0,0.87,"[[ 529   23  200   92]
 [  36   68   75   26]
 [ 240   22 1491  285]
 [ 130   12  273 7433]]",2,1.0,0.0,,439.7330811023712,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.09_0.95-115411/
relu,dynamic_learning_rate_0.09_0.90,"[300, 150, 100]",3,GD,0.05,0.9,20,1.0,0.88,1.0,0.88,1.0,0.88,"[[ 566   18  187   73]
 [  37   72   66   30]
 [ 268   18 1541  211]
 [ 145    9  282 7412]]",2,1.0,0.0,,400.8074049949646,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.09_0.90-120347/
relu,momentum_0.005_nesterov,"[300, 150, 100]",3,momentum,0.005,1,20,1.0,0.88,1.0,0.88,1.0,0.88,"[[ 533   34  198   79]
 [  31  103   50   21]
 [ 246   38 1528  226]
 [ 109   12  243 7484]]",2,1.0,0.0,True,407.41704297065735,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-momentum_0.005_nesterov-121243/
relu,momentum_0.001_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,1.0,0.86,1.0,0.87,1.0,0.86,"[[ 564   26  160   94]
 [  53   77   60   15]
 [ 261   27 1474  276]
 [ 183    7  326 7332]]",2,1.0,0.0,True,406.8557240962982,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-momentum_0.001_nesterov-122149/
relu,momentum_0.01_nesterov,"[300, 150, 100]",3,momentum,0.01,1,20,1.0,0.89,1.0,0.89,1.0,0.89,"[[ 543   34  193   74]
 [  26  102   53   24]
 [ 200   54 1549  235]
 [  86   16  201 7545]]",2,1.0,0.0,True,446.0315089225769,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-momentum_0.01_nesterov-123054/
relu,base_arquitecture_early_stopping_2_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,11,0.97,0.83,0.97,0.85,0.97,0.83,"[[ 591   28  158   67]
 [  51   76   56   22]
 [ 310   31 1438  259]
 [ 322   23  488 7015]]",2,1.0,0.0,True,227.20866775512695,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-base_arquitecture_early_stopping_2_momentum_nesterov-124037/
relu,base_arquitecture_early_stopping_1.5_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,11,0.97,0.85,0.97,0.85,0.97,0.85,"[[ 503   32  187  122]
 [  43   79   52   31]
 [ 207   39 1400  392]
 [ 149   15  352 7332]]",1.5,1.0,0.0,True,228.11127257347107,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-base_arquitecture_early_stopping_1.5_momentum_nesterov-124643/
relu,base_arquitecture_early_stopping_3_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,11,0.98,0.85,0.98,0.86,0.98,0.85,"[[ 568   28  156   92]
 [  40   74   55   36]
 [ 279   37 1429  293]
 [ 188   17  375 7268]]",3,1.0,0.0,True,228.72509479522705,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-base_arquitecture_early_stopping_3_momentum_nesterov-125253/
relu,dropout_25_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.65,0.58,0.65,0.74,0.65,0.58,"[[ 419  113  151  161]
 [  27  115   44   19]
 [ 202   78 1434  324]
 [ 836   85 2507 4420]]",2,0.25,0.0,True,513.0716552734375,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dropout_25_momentum_nesterov-125858/
relu,dropout_35_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.85,0.81,0.85,0.83,0.85,0.81,"[[ 629   31   92   92]
 [  60   85   30   30]
 [ 375   41 1256  366]
 [ 474    3  525 6846]]",2,0.35,0.0,True,515.9553105831146,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dropout_35_momentum_nesterov-130953/
relu,dropout_50_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.93,0.85,0.93,0.86,0.93,0.85,"[[ 581   32  167   64]
 [  38   91   55   21]
 [ 275   44 1464  255]
 [ 244    6  466 7132]]",2,0.5,0.0,True,518.4711935520172,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dropout_50_momentum_nesterov-132052/
relu,l2_scale_0.001_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.99,0.86,0.99,0.87,0.99,0.86,"[[ 548   28  195   73]
 [  35   86   54   30]
 [ 248   34 1498  258]
 [ 173   11  372 7292]]",2,1.0,0.001,True,428.054212808609,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-l2_scale_0.001_momentum_nesterov-133155/
relu,l2_scale_0.002_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.99,0.86,0.99,0.86,0.99,0.86,"[[ 557   25  162  100]
 [  48   75   63   19]
 [ 274   30 1494  240]
 [ 211    2  407 7228]]",2,1.0,0.002,True,429.80181407928467,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-l2_scale_0.002_momentum_nesterov-134126/
relu,l2_scale_0.005_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.96,0.83,0.96,0.85,0.96,0.83,"[[ 586   31  148   79]
 [  52   81   54   18]
 [ 308   35 1458  237]
 [ 302    3  555 6988]]",2,1.0,0.005,True,428.0530939102173,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-l2_scale_0.005_momentum_nesterov-135059/
