date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime
2018-04-20 21:26,bag_Of_Words,600,,,0,6.74,0,2.17,66.74,38379,11993,1,1.0,MLP,49.91,0.91,0.68,"[[ 203    8  132  536]
 [  31    3   47  200]
 [ 103    5  905 1092]
 [ 537   52 1050 7089]]",0.94,0.94,7.4
2018-04-20 21:27,bag_Of_Words,140,,,0,6.93,0,1.97,49.61,38379,11993,0.1,1.0,MLP,32.08,0.84,0.67,"[[ 138    1  124  616]
 [  19    3   51  208]
 [  67    9  688 1341]
 [ 388    7 1171 7162]]",0.93,0.96,8.32
2018-04-20 21:28,bag_Of_Words,600,,,0,6.55,0,1.96,64.77,38379,11993,1,0.8,MLP,48.81,0.91,0.65,"[[ 245    5  144  485]
 [  40    6   51  184]
 [ 197    4  991  913]
 [ 879    6 1329 6514]]",0.94,0.9,6.96
2018-04-20 21:29,bag_Of_Words,140,,,0,6.24,0,1.91,46.65,38379,11993,0.1,0.8,MLP,31.26,0.83,0.71,"[[  77    2   83  717]
 [  10    1   42  228]
 [  58    0  570 1477]
 [ 194    8  687 7839]]",0.93,0.98,6.94
2018-04-20 21:30,bag_Of_Words,8,,,0,6.74,0,1.9,46.0,38379,11993,0.25,0.75,MLP,27.98,0.73,0.73,"[[   0    0    2  877]
 [   0    0    1  280]
 [   0    0   16 2089]
 [   0    0   33 8695]]",0.93,1.0,9.14
2018-04-20 21:31,bag_Of_Words,600,,,0,6.9,0,2.0,53.54,38379,11993,1,1.0,RF,36.71,0.99,0.77,"[[ 101    9   84  685]
 [  10    8   23  240]
 [  25    4  714 1362]
 [  63    2  288 8375]]",0.73,0.77,7.34
2018-04-20 21:31,bag_Of_Words,140,,,0,6.51,0,1.83,29.02,38379,11993,0.1,1.0,RF,13.09,0.95,0.74,"[[ 100   11   78  690]
 [   5    8   23  245]
 [  21    3  652 1429]
 [  33    4  574 8117]]",0.7,0.74,7.31
2018-04-20 21:32,bag_Of_Words,600,,,0,6.76,0,1.97,55.46,38379,11993,1,0.8,RF,38.75,0.99,0.77,"[[  97    8   85  689]
 [   7    8   32  234]
 [  26    4  746 1329]
 [  44    1  321 8362]]",0.73,0.77,7.41
2018-04-20 21:33,bag_Of_Words,140,,,0,6.55,0,1.87,29.79,38379,11993,0.1,0.8,RF,13.68,0.95,0.74,"[[  99    7   92  681]
 [   6    8   23  244]
 [  23    4  666 1412]
 [  32    3  616 8077]]",0.7,0.74,7.39
2018-04-20 21:33,bag_Of_Words,8,,,0,6.61,0,1.91,19.47,38379,11993,0.25,0.75,RF,3.31,0.81,0.64,"[[  42    3  112  722]
 [   6    4   27  244]
 [  74    2  419 1610]
 [ 352   10 1117 7249]]",0.59,0.64,7.4
