date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK,SMOTE
2018-05-04 19:52,bag_Of_Words,600,,,0,6.89,0,2.0,170.71,39220,10935,1,1.0,MLP,140.57,0.96,0.67,"[[ 384   42  191  227]
 [  47   51   30   77]
 [ 238   42 1280  478]
 [ 831   73 1349 5595]]",0.95,0.89,7.17,0.74,0.67,all
2018-05-04 19:54,bag_Of_Words,138,,,0,5.96,0,1.93,104.59,39220,10935,0.1,1.0,MLP,86.92,0.88,0.51,"[[ 398   35  175  236]
 [  53   19   48   85]
 [ 308   44 1126  560]
 [1393  124 2347 3984]]",0.95,0.83,6.77,0.66,0.51,all
2018-05-04 19:57,bag_Of_Words,600,,,0,6.43,0,1.96,172.01,39220,10935,1,0.8,MLP,143.4,0.96,0.65,"[[ 374   40  231  199]
 [  45   37   73   50]
 [ 203   40 1375  420]
 [ 780  164 1561 5343]]",0.95,0.9,6.9,0.74,0.65,all
2018-05-04 19:59,bag_Of_Words,138,,,0,6.19,0,1.89,105.93,39220,10935,0.1,0.8,MLP,88.0,0.87,0.55,"[[ 339   20  211  274]
 [  42   11   50  102]
 [ 225   33 1149  631]
 [ 964   50 2282 4552]]",0.95,0.88,6.84,0.66,0.55,all
2018-05-04 20:00,bag_Of_Words,6,,,0,6.4,0,1.97,101.98,39220,10935,0.25,0.75,MLP,85.16,0.47,0.36,"[[ 381  178  136  149]
 [  72   51   32   50]
 [ 599  268  649  522]
 [1923 1276 1739 2910]]",0.94,0.74,7.22,0.63,0.36,all
2018-05-04 20:03,bag_Of_Words,600,,,0,6.91,0,2.09,161.03,39220,10935,1,1.0,RF,130.02,1.0,0.72,"[[ 416    1  186  241]
 [  61    7   56   81]
 [ 189    1 1338  510]
 [ 600    4 1121 6123]]",0.76,0.72,7.82,0,0,all
2018-05-04 20:04,bag_Of_Words,138,,,0,6.53,0,2.02,69.54,39220,10935,0.1,1.0,RF,50.02,0.97,0.57,"[[ 309    2  266  267]
 [  50    3   78   74]
 [ 154    5 1307  572]
 [ 776   34 2373 4665]]",0.68,0.57,7.34,0,0,all
2018-05-04 20:07,bag_Of_Words,600,,,0,6.57,0,2.06,164.31,39220,10935,1,0.8,RF,133.61,1.0,0.73,"[[ 398    4  207  235]
 [  41   18   57   89]
 [ 162   10 1338  528]
 [ 532   23 1056 6237]]",0.76,0.73,7.29,0,0,all
2018-05-04 20:08,bag_Of_Words,138,,,0,6.08,0,2.04,67.99,39220,10935,0.1,0.8,RF,48.8,0.97,0.56,"[[ 311    1  272  260]
 [  48    1   71   85]
 [ 169    3 1350  516]
 [ 656   12 2689 4491]]",0.68,0.56,7.6,0,0,all
2018-05-04 20:08,bag_Of_Words,6,,,0,6.14,0,1.92,27.88,39220,10935,0.25,0.75,RF,11.49,0.7,0.41,"[[ 263  110  184  287]
 [  62   28   48   67]
 [ 465  179  766  628]
 [1452  751 2240 3405]]",0.61,0.41,7.15,0,0,all
